ml	CpG.number
chr6_52877029_52877603	0.07	7
chr6_53371960_53372528	0.46	11
chr6_53537401_53537894	0.87	5
chr6_53896971_53897761	0.23	16
chr6_54070778_54071306	0.19	9
chr6_54253534_54254395	0.32	15
chr6_54313047_54313685	0.03	2
chr6_55161101_55162132	0.15	11
chr6_55241198_55242011	0.11	10
chr6_55836739_55837445	0.47	10
chr6_56027196_56028483	0.28	15
chr6_56176360_56177037	0.11	3
chr6_56560273_56561239	0.72	4
chr6_56704268_56705034	0.01	41
chr6_56805817_56806664	0.33	5
chr6_57511845_57512436	0.01	5
chr6_57605524_57606583	0.02	7
chr6_57798972_57799416	0.02	2
chr6_58867380_58868459	0.35	12
chr6_59208481_59209685	0.01	64
chr6_59425303_59426902	0.12	39
chr6_63255872_63257751	0	113
chr6_64598320_64598698	0.08	4
chr6_70116459_70117290	0.02	1
chr6_70314375_70315218	0.08	2
chr6_71823485_71823934	0	20
chr6_71969311_71970338	0.21	9
chr6_72125511_72125998	0.31	9
chr6_72254003_72254699	0.72	7
chr6_72370911_72371631	0.09	10
chr6_72454103_72454931	0.3	9
chr6_72650315_72651158	0.11	14
chr6_72694366_72695140	0.17	13
chr6_72949050_72949865	0.02	10
chr6_73045898_73046600	0.08	9
chr6_73054679_73055524	0.05	12
chr6_76387621_76388228	0.24	6
chr6_76697069_76697956	0.13	8
chr6_76754484_76755264	0	5
chr6_77446840_77447409	0.29	2
chr6_77644568_77645072	0.02	4
chr6_77693960_77694886	0.12	3
chr6_77847466_77848198	0	3
chr6_77862762_77863713	0.05	9
chr6_78340175_78340787	0.32	2
chr6_80865723_80866356	0.01	3
chr6_81738259_81739241	0.31	8
chr6_81782711_81783655	0.11	13
chr6_81911629_81912622	0.16	8
chr6_83054137_83055215	0	40
chr6_83121196_83122057	0.01	19
chr6_83185833_83186905	0.02	14
chr6_83541496_83542479	0.03	12
chr6_84429022_84429797	0.09	11
chr6_84728752_84729058	0.32	5
chr6_85237862_85238736	0.11	15
chr6_85480068_85480542	0.2	7
chr6_85984888_85985493	0.35	7
chr6_86086601_86087447	0	8
chr6_86115677_86116283	0.23	5
chr6_86180717_86181062	0.09	1
chr6_86471847_86472997	0.04	19
chr6_86610603_86611290	0.39	7
chr6_87133929_87134633	0.12	13
chr6_87183064_87183863	0.07	14
chr6_87257841_87258629	0.4	9
chr6_87270321_87271154	0.32	15
chr6_87276684_87277732	0.24	11
chr6_87292671_87293469	0.15	10
chr6_87368858_87369748	0.18	6
chr6_87463679_87464309	0.32	10
chr6_87483503_87484402	0.42	14
chr6_87510996_87511989	0.16	6
chr6_87517749_87518305	0.04	4
chr6_87893776_87894337	0.85	13
chr6_88116382_88116972	0.75	15
chr6_88140165_88140801	0.39	14
chr6_88158623_88159147	0.21	7
chr6_88188058_88188675	0.05	6
chr6_88539940_88540517	0.34	2
chr6_88558041_88558635	0.57	4
chr6_88575652_88577119	0.22	23
chr6_88605049_88605942	0.39	5
chr6_88873954_88875257	0	43
chr6_89068204_89068722	0.34	7
chr6_89089933_89090860	0.17	10
chr6_90470821_90471447	0.61	9
chr6_90506543_90507397	0.06	18
chr6_90829399_90830498	0.13	8
chr6_90953256_90953869	0.09	3
chr6_90974122_90975138	0.35	5
chr6_91056074_91056904	0.43	1
chr6_91218423_91219165	0.3	10
chr6_91285335_91285911	0.01	31
chr6_91410823_91412138	0	50
chr6_91489814_91490513	0.05	12
chr6_91551473_91552183	0.62	5
chr6_91631126_91631661	0.22	5
chr6_92225044_92225520	0.2	1
chr6_92617203_92617717	0.07	3
chr6_92649007_92649607	0.09	2
chr6_92727402_92727886	0.01	5
chr6_92804404_92805002	0.55	2
chr6_93524161_93525137	0.27	6
chr6_93573723_93574684	0.33	7
chr6_93660728_93661677	0.24	8
chr6_93962582_93963242	0.02	7
chr6_94241085_94241697	0.21	8
chr6_94405248_94405912	0.15	7
chr6_94413798_94414159	0	1
chr6_94584050_94584786	0.22	9
chr6_94829207_94829888	0.45	8
chr6_94848353_94848912	0.37	2
chr6_95006414_95007119	0.3	2
chr6_95198469_95199319	0.05	8
chr6_95217012_95218135	0.1	13
chr6_95374174_95374636	0.02	7
chr6_95999939_96000589	0.15	13
chr6_96044349_96044785	0.18	3
chr6_96097991_96098702	0.03	9
chr6_96243932_96244885	0.03	5
chr6_96258550_96259134	0.38	6
chr6_96349275_96350102	0.08	10
chr6_97178523_97179635	0.01	51
chr6_97221179_97222023	0.07	15
chr6_97277954_97278758	0.04	20
chr6_97506033_97506763	0	15
chr6_97769459_97770435	0.26	9
chr6_97855428_97856174	0.1	5
chr6_97993281_97994112	0.13	19
chr6_98089156_98089682	0.07	4
chr6_98221845_98222585	0.06	22
chr6_98240132_98241062	0.11	5
chr6_98258888_98259441	0.06	3
chr6_99078762_99079715	0.16	12
chr6_99166124_99166919	0.19	6
chr6_99295487_99296124	0.14	9
chr6_99666923_99667310	0.05	4
chr6_100100802_100101503	0.11	9
chr6_100107399_100108046	0.38	7
chr6_100170667_100171710	0.04	29
chr6_100327008_100327531	0.34	6
chr6_100396707_100397341	0.06	10
chr6_100433101_100433711	0.03	17
chr6_100557857_100558777	0.06	14
chr6_100720721_100721516	0.09	12
chr6_100732002_100733647	0.25	33
chr6_100959674_100960208	0.36	4
chr6_100968012_100969033	0.08	14
chr6_101343006_101343479	0.21	5
chr6_101354367_101355192	0.01	7
chr6_101520591_101521775	0.44	9
chr6_101550548_101551500	0.04	9
chr6_101580601_101581413	0.16	5
chr6_102597556_102598216	0.11	3
chr6_103682848_103683315	0.06	8
chr6_105483124_105483818	0.04	6
chr6_107513606_107514028	0.14	3
chr6_107556915_107557380	0.61	3
chr6_108021398_108022558	0.03	9
chr6_108072964_108073581	0.06	9
chr6_108436371_108437134	0.01	5
chr6_108577075_108577542	0.26	6
chr6_108700427_108701165	0.13	14
chr6_108738321_108739118	0.05	8
chr6_108752179_108752847	0	7
chr6_108928870_108929711	0.06	3
chr6_110137044_110137739	0.02	7
chr6_110538553_110539434	0.01	6
chr6_111601890_111602661	0.02	4
chr6_112108448_112109151	0.03	18
chr6_112401898_112402687	0.26	13
chr6_112423903_112424625	0.03	7
chr6_112728599_112729343	0.01	12
chr6_112756289_112757228	0.06	10
chr6_113276590_113277443	0.22	7
chr6_113287123_113287758	0.17	4
chr6_113575804_113576779	0.1	13
chr6_113801092_113801724	0.12	2
chr6_113860582_113861525	0.05	2
chr6_113912817_113913222	0.29	4
chr6_114367565_114368368	0.14	12
chr6_114414367_114415046	0.04	8
chr6_114425107_114426115	0.19	6
chr6_114448694_114449395	0.03	10
chr6_114457678_114458906	0.64	9
chr6_114712092_114713332	0.17	14
chr6_114794436_114795163	0.2	10
chr6_114976719_114977572	0.04	8
chr6_115071943_115072485	0.27	3
chr6_115238096_115239010	0.45	8
chr6_115278016_115278580	0.17	4
chr6_115321685_115322648	0.25	14
chr6_116056535_116057230	0.03	12
chr6_116192722_116194214	0.01	38
chr6_116628297_116629243	0.01	29
chr6_116901652_116902701	0.13	7
chr6_117071121_117072274	0.05	17
chr6_117084353_117085138	0.28	13
chr6_117116151_117116682	0.25	3
chr6_117214501_117214970	0	4
chr6_117230723_117231458	0.24	9
chr6_117279276_117279929	0.32	4
chr6_117430609_117431367	0.4	12
chr6_117562911_117564224	0.08	10
chr6_117755833_117756574	0.03	8
chr6_117800560_117802006	0.45	24
chr6_117964821_117965468	0.25	14
chr6_117991168_117992201	0.32	18
chr6_118179592_118180535	0.52	18
chr6_118196629_118197802	0.01	58
chr6_118594759_118596071	0.19	14
chr6_118632610_118633156	0.03	2
chr6_118772280_118773170	0.16	14
chr6_118966797_118967393	0.04	3
chr6_119191223_119191861	0.19	7
chr6_119237554_119238448	0.49	10
chr6_119443410_119443903	0.1	11
chr6_119521469_119522658	0.04	12
chr6_120274772_120275739	0.36	10
chr6_120294033_120295120	0.01	18
chr6_120357117_120357752	0	20
chr6_120471712_120472583	0.15	8
chr6_120482912_120483814	0.05	15
chr6_120503944_120504825	0.19	4
chr6_120510078_120510925	0.07	15
chr6_121144796_121145671	0.24	12
chr6_121194679_121195750	0.27	18
chr6_121271868_121272732	0.04	18
chr6_121392130_121393326	0.46	7
chr6_122682481_122683359	0.04	4
chr6_122896688_122897414	0.32	10
chr6_124521992_124522860	0.35	12
chr6_124818004_124818502	0	3
chr6_124847277_124847901	0.27	9
chr6_124964973_124965872	0.03	40
chr6_125039501_125040085	0.01	20
chr6_125095426_125096329	0.04	9
chr6_125225319_125225976	0.23	5
chr6_125776341_125777155	0.42	6
chr6_126155678_126156608	0.34	7
chr6_126199763_126200432	0.77	7
chr6_126361969_126362984	0.71	5
chr6_126475461_126476076	0.83	8
chr6_126783325_126784288	0.04	14
chr6_126802882_126803388	0.21	11
chr6_126808093_126808840	0.07	11
chr6_127181121_127182037	0.45	25
chr6_127265721_127266868	0.04	21
chr6_127529413_127529959	0.85	2
chr6_127989128_127990181	0.4	20
chr6_128437532_128439120	0.01	53
chr6_128505287_128506229	0.39	6
chr6_128542741_128543845	0.37	26
chr6_128763576_128764498	0.01	22
chr6_131353359_131354063	0.03	22
chr6_131402461_131403200	0.68	1
chr6_134059305_134060127	0.32	15
chr6_134151791_134152569	0.01	10
chr6_134219033_134220884	0.13	30
chr6_134621046_134622033	0.08	20
chr6_134648264_134649221	0.05	7
chr6_134659270_134659837	0.29	9
chr6_134792008_134792726	0	8
chr6_134847487_134848046	0.3	5
chr6_134887514_134888242	0	14
chr6_134919735_134921263	0	65
chr6_135232304_135233052	0.11	10
chr6_135249779_135250375	0.02	12
chr6_135332060_135333311	0.26	20
chr6_135441090_135441890	0	10
chr6_135500073_135500846	0.08	6
chr6_135526539_135527347	0.06	25
chr6_135559336_135559990	0.54	12
chr6_135578469_135578998	0.2	4
chr6_135636343_135637253	0.06	14
chr6_135662319_135663549	0.18	6
chr6_136029138_136029772	0.09	3
chr6_136072157_136073034	0.06	9
chr6_136194499_136195130	0.03	6
chr6_136235252_136236016	0.11	14
chr6_136364030_136365108	0.18	16
chr6_136449213_136449778	0.14	9
chr6_136816869_136817297	0.07	9
chr6_136875534_136876233	0.18	9
chr6_136889436_136890069	0.14	9
chr6_137169078_137170009	0.03	54
chr6_137209897_137210473	0.78	9
chr6_137364717_137365118	0.03	8
chr6_137465214_137465743	0.7	4
chr6_137647411_137648507	0.03	26
chr6_137754506_137754800	0.02	13
chr6_137934767_137936117	0.14	19
chr6_138069843_138070464	0.19	14
chr6_138638986_138640162	0.34	7
chr6_139577385_139577669	0.36	7
chr6_139750581_139751708	0.1	8
chr6_140852305_140852732	0.13	4
chr6_142455379_142455785	0.27	4
chr6_142963637_142965483	0.02	73
chr6_143288527_143289211	0.02	21
chr6_143328230_143328980	0.14	18
chr6_143414515_143415780	0.05	40
chr6_143431720_143432335	0.1	12
chr6_143477172_143477877	0.41	8
chr6_143494256_143495142	0.68	20
chr6_143535187_143536483	0.14	36
chr6_143554889_143555415	0.01	3
chr6_143853915_143854689	0.11	14
chr6_144452225_144453165	0.05	11
chr6_144510119_144510749	0.1	9
chr6_144627632_144628374	0.2	12
chr6_144695536_144696159	0.16	6
chr6_145047319_145049050	0.03	55
chr6_145423306_145423961	0.1	16
chr6_145746078_145747745	0.01	62
chr6_146124237_146124955	0.1	5
chr6_146877597_146878371	0.03	14
chr6_146984458_146985002	0.11	3
chr6_147299561_147300088	0.31	5
chr6_147727989_147728602	0.05	7
chr6_148241426_148242250	0.35	11
chr6_148505192_148506190	0.17	5
chr6_148522774_148523422	0.04	1
chr6_148571460_148572381	0.05	5
chr6_148615419_148616433	0.21	9
chr6_148740748_148741251	0.3	4
chr7_3280412_3281260	0.08	10
chr7_3432151_3432600	0.15	3
chr7_3468549_3469130	0.02	2
chr7_3476597_3477211	0.12	8
chr7_4500968_4502326	0	37
chr7_4611352_4612310	0.85	26
chr7_4836457_4836935	0.01	12
chr7_4943199_4943864	0.13	12
chr7_6378228_6379023	0.01	12
chr7_6386968_6387538	0.58	6
chr7_6434016_6434799	0.05	17
chr7_6829004_6829565	0.72	5
chr7_7120813_7121809	0.04	33
chr7_7171092_7171872	0	24
chr7_7277602_7278327	0.36	1
chr7_15933260_15934013	0.15	7
chr7_15980076_15980765	0.14	9
chr7_16272558_16274104	0.01	21
chr7_16348866_16349163	0	1
chr7_16399415_16400462	0	34
chr7_16584173_16584918	0.75	4
chr7_16614749_16615685	0.08	1
chr7_16674426_16675217	0.41	2
chr7_16705995_16707108	0.23	17
chr7_16853128_16854108	0.75	16
chr7_16874765_16875603	0.01	23
chr7_16923856_16924710	0	30
chr7_16959503_16960237	0.06	13
chr7_17045533_17046529	0.08	5
chr7_19227494_19229128	0	45
chr7_19620708_19621364	0.17	9
chr7_19749036_19750214	0.01	36
chr7_24082737_24083406	0.08	10
chr7_24237190_24237920	0.07	11
chr7_24298813_24299724	0	24
chr7_25063377_25064578	0.2	10
chr7_25076550_25077477	0.01	14
chr7_27155897_27156501	0.08	10
chr7_27526441_27527064	0.03	5
chr7_28049793_28050444	0.01	33
chr7_28084000_28084759	0.2	12
chr7_28277607_28278169	0	13
chr7_28482530_28483359	0.17	20
chr7_28796506_28797107	0.2	26
chr7_28810244_28811182	0	22
chr7_29026137_29026824	0.44	6
chr7_29387238_29387999	0.22	22
chr7_29448724_29449173	0.09	8
chr7_29548484_29549001	0.54	9
chr7_30231529_30232533	0.01	46
chr7_30457042_30458203	0.02	25
chr7_30484839_30485481	0.54	21
chr7_30490330_30491128	0.09	16
chr7_30775914_30776660	0.57	8
chr7_30796653_30797297	0.32	2
chr7_31017257_31018043	0.03	12
chr7_34347826_34348520	0.15	3
chr7_34759208_34760057	0.02	9
chr7_34777836_34778873	0.1	19
chr7_34819663_34820232	0.24	22
chr7_34877787_34878329	0.42	10
chr7_35497297_35498053	0.51	3
chr7_35744720_35745331	0.03	11
chr7_35836698_35837449	0.24	28
chr7_35877969_35878646	0.08	12
chr7_36060228_36061311	0.18	7
chr7_36207698_36208344	0.15	16
chr7_36261849_36262453	0.32	21
chr7_36449163_36450054	0.38	9
chr7_36934927_36935623	0.18	20
chr7_37024155_37025221	0.21	14
chr7_37095731_37096628	0.18	20
chr7_37246087_37246691	0.06	7
chr7_37623783_37624673	0.1	16
chr7_37809810_37810328	0.29	6
chr7_38013882_38014188	0.26	2
chr7_39487108_39487978	0.16	15
chr7_40202679_40203186	0	1
chr7_40220518_40221046	0.1	5
chr7_40622645_40623513	0.18	5
chr7_40737171_40737926	0.06	11
chr7_40812885_40813479	0.1	5
chr7_40824968_40825901	0.02	8
chr7_40830944_40831937	0.07	10
chr7_40939114_40939871	0.1	5
chr7_42642269_42642935	0.04	15
chr7_43465346_43466714	0.02	51
chr7_43480907_43481702	0.04	7
chr7_43952551_43953173	0.1	5
chr7_44014628_44015549	0.27	7
chr7_44193889_44194366	0.15	1
chr7_44217250_44217956	0.61	2
chr7_44391692_44392145	0.96	2
chr7_44661222_44661824	0.15	9
chr7_44670572_44671387	0.04	23
chr7_44986216_44987345	0	30
chr7_45233042_45234345	0	17
chr7_45276899_45277760	0.03	25
chr7_45314815_45315949	0.03	15
chr7_45395158_45396377	0.01	34
chr7_45588975_45589719	0.02	20
chr7_45916220_45917145	0.15	15
chr7_46009593_46010060	0.01	5
chr7_46013320_46014157	0.41	11
chr7_46162048_46162821	0.55	9
chr7_46282294_46283154	0.35	9
chr7_46342471_46343210	0.14	4
chr7_46364166_46364844	0.13	5
chr7_46509153_46510393	0.27	21
chr7_46534921_46535936	0.41	16
chr7_46544016_46544856	0.53	15
chr7_46581371_46581786	0.33	6
chr7_46718481_46719264	0.42	8
chr7_47061533_47062055	0.16	7
chr7_49076019_49076795	0.22	16
chr7_49132711_49133577	0.07	9
chr7_49373699_49374489	0.02	8
chr7_49478857_49479526	0.13	7
chr7_49575130_49575707	0.18	11
chr7_50374464_50375347	0.07	5
chr7_50481943_50482548	0.13	6
chr7_51221349_51222193	0.82	5
chr7_51281214_51281925	0.32	1
chr7_51510659_51511803	0.04	46
chr7_51748617_51749407	0.2	10
chr7_51815589_51816225	0.01	4
chr7_54835204_54836443	0.03	40
chr7_55792155_55792837	0.21	7
chr7_57243986_57244586	0.11	6
chr7_57471259_57471758	0.31	1
chr7_57529513_57530415	0.45	14
chr7_57992240_57993064	0.35	12
chr7_58247207_58247948	0.05	4
chr7_58346751_58347102	0.12	1
chr7_58715091_58716017	0.25	6
chr7_63345433_63346739	0.01	12
chr7_63520029_63520734	0.56	2
chr7_63637506_63638330	0.16	5
chr7_63743036_63743551	0.96	1
chr7_63950858_63951983	0.33	10
chr7_63991570_63992630	0.3	12
chr7_64024080_64024987	0.23	5
chr7_64064742_64066105	0.06	27
chr7_64215545_64216191	0.44	8
chr7_64291717_64292602	0.1	13
chr7_64576268_64577059	0.12	2
chr7_64727952_64728917	0.25	9
chr7_64776583_64777205	0.16	8
chr7_65111536_65112367	0.09	13
chr7_65235584_65236350	0.05	4
chr7_65382072_65383079	0.1	11
chr7_65572665_65573264	0.41	6
chr7_65609773_65611015	0.19	19
chr7_66038189_66038841	0.79	4
chr7_66043814_66044534	0.91	3
chr7_66087543_66088559	0.17	13
chr7_66866945_66868519	0.06	32
chr7_66933930_66934836	0.32	12
chr7_66988528_66990098	0.47	12
chr7_67055339_67055893	0.82	4
chr7_67064269_67065520	0.14	15
chr7_67390533_67391229	0.1	6
chr7_67459442_67460441	0.46	13
chr7_67487312_67488476	0.92	20
chr7_67538377_67538734	0.31	2
chr7_67716749_67717581	0.3	10
chr7_68098062_68098611	0.2	8
chr7_68166415_68166934	0	1
chr7_68318168_68318710	0.28	10
chr7_68833225_68834672	0.3	18
chr7_68851531_68852439	0.57	6
chr7_68914115_68915077	0.06	8
chr7_70361346_70362141	0	27
chr7_70712036_70712703	0.05	12
chr7_70817222_70817887	0.09	8
chr7_71471767_71472709	0.21	24
chr7_71556346_71556778	0.87	3
chr7_72691413_72692286	0.06	12
chr7_73330699_73331193	0.04	13
chr7_74303664_74304481	0.65	15
chr7_74719200_74719914	0.14	24
chr7_74942808_74943382	0.03	4
chr7_75208072_75208846	0.16	3
chr7_75253570_75254120	0.31	5
chr7_75733072_75733578	0.09	2
chr7_76047643_76048229	0.05	3
chr7_76127391_76128403	0.29	10
chr7_76790963_76791825	0.3	5
chr7_77988011_77988627	0.04	5
chr7_78027044_78027659	0	4
chr7_78102179_78102877	0.14	4
chr7_78286855_78287307	0.87	1
chr7_78396808_78397661	0.24	9
chr7_78518623_78519309	0.52	6
chr7_78667716_78668522	0.28	10
chr7_78690697_78691601	0	6
chr7_78718061_78719144	0.09	16
chr7_78731052_78731945	0.14	11
chr7_79217309_79217974	0.39	5
chr7_79255198_79255870	0.16	11
chr7_79336168_79337129	0.14	17
chr7_79771127_79772122	0.2	13
chr7_80039387_80040103	0.42	14
chr7_80091837_80092896	0.16	7
chr7_80143342_80144292	0.08	23
chr7_80412166_80412868	0.11	13
chr7_80534830_80535683	0.01	32
chr7_80660502_80661077	0.72	4
chr7_80840832_80841402	0.02	6
chr7_81294121_81294724	0.11	5
chr7_81344949_81345543	0	12
chr7_81475225_81475756	0	3
chr7_81516111_81516946	0.13	5
chr7_81541878_81542546	0.19	7
chr7_81565286_81566017	0.28	7
chr7_81630992_81631714	0.18	19
chr7_81730962_81731778	0.04	12
chr7_81868137_81868702	0.51	10
chr7_81875163_81875890	0.11	11
chr7_82063272_82063913	0.17	10
chr7_82180648_82181313	0.06	11
chr7_82734849_82735636	0.07	3
chr7_82923532_82924416	0	13
chr7_82992973_82993622	0.02	8
chr7_83014938_83015344	0.04	2
chr7_83056133_83056928	0.01	13
chr7_83074567_83075145	0.32	17
chr7_83161138_83162154	0.45	10
chr7_83162711_83163281	0.07	3
chr7_83380821_83382387	0.12	15
chr7_83466897_83467420	0.19	11
chr7_83521319_83522057	0.03	11
chr7_83615208_83615742	0.28	3
chr7_83658810_83659280	0.49	3
chr7_83838435_83838735	0.22	3
chr7_83952295_83952920	0.79	10
chr7_84029002_84029893	0.15	4
chr7_84137666_84138358	0.09	5
chr7_84203797_84204388	0.12	5
chr7_84284991_84285486	0.18	3
chr7_87787627_87788170	0.03	1
chr7_87950027_87950797	0.69	2
chr7_88199845_88200544	0.23	6
chr7_88345814_88346603	0.47	3
chr7_89499371_89500567	0.07	24
chr7_89511800_89512323	0.3	5
chr7_89540929_89541731	0.05	5
chr7_89671507_89671896	0.08	2
chr7_89796223_89797013	0.77	6
chr7_90059523_90060744	0.46	16
chr7_90348773_90349615	0.04	8
chr7_90370405_90370897	0.62	3
chr7_90395946_90396670	0.13	15
chr7_90456940_90457683	0.01	38
chr7_90825596_90826242	0.15	9
chr7_91045243_91045861	0	3
chr7_91072152_91072815	0.03	5
chr7_91096443_91096896	0.06	8
chr7_91218361_91219105	0.03	5
chr7_91241401_91242295	0.03	8
chr7_91414686_91415332	0.34	2
chr7_91935017_91935718	0.04	9
chr7_92460481_92461114	0.41	2
chr7_95761009_95761801	0.1	14
chr7_95766497_95767142	0.03	4
chr7_95952251_95952812	0.34	3
chr7_96108458_96109305	0.63	9
chr7_96474129_96475216	0	17
chr7_96521822_96522584	0.25	11
chr7_96539409_96540338	0.64	3
chr7_96565890_96566768	0.15	13
chr7_96651051_96652566	0.13	14
chr7_96710412_96710993	0.49	2
chr7_96773080_96774300	0.43	17
chr7_96838301_96839528	0.16	15
chr7_96898427_96899637	0.14	20
chr7_97244905_97245917	0	2
chr7_97344755_97346039	0.02	13
chr7_97380534_97381018	0.4	4
chr7_97416998_97417990	0.49	28
chr7_97764999_97765810	0.31	17
chr7_97914678_97915127	0.13	3
chr7_97973184_97973973	0.2	2
chr7_98371006_98371733	0.03	7
chr7_98418314_98419061	0.04	15
chr7_98855318_98856062	0.3	4
chr7_98897224_98897932	0.05	8
chr7_99254726_99255472	0.1	11
chr7_99409577_99410071	0.41	5
chr7_99664435_99665124	0.82	8
chr7_99708032_99709035	0.03	14
chr7_99827981_99828661	0.06	24
chr7_100178086_100179023	0.02	35
chr7_100302138_100302903	0.12	8
chr7_100461389_100462279	0.27	11
chr7_100495422_100496149	0.46	13
chr7_100606981_100608680	0.01	31
chr7_100670475_100671401	0.26	11
chr7_100680862_100681474	0.18	8
chr7_100857238_100858090	0.24	6
chr7_100932415_100932965	0.04	15
chr7_100942674_100943808	0.05	9
chr7_101017292_101018032	0.23	12
chr7_101100999_101101910	0.03	13
chr7_101714860_101715530	0.3	5
chr7_101750154_101750682	0.49	4
chr7_101762328_101762667	0.9	6
chr7_102258094_102258520	0.1	5
chr7_105465283_105466097	0.03	8
chr7_105519212_105520396	0.01	16
chr7_105620794_105622098	0.28	12
chr7_105810436_105811504	0	52
chr7_109082961_109083792	0.06	30
chr7_109110909_109111684	0.34	8
chr7_109230690_109231487	0.04	5
chr7_109483952_109484667	0.55	12
chr7_109532344_109533388	0.12	4
chr7_110060670_110062254	0.01	59
chr7_110361559_110361981	0.36	2
chr7_110555193_110555684	0	1
chr7_110750881_110751300	0.24	5
chr7_110781088_110781969	0.37	5
chr7_110988066_110988635	0.33	4
chr7_110989269_110989750	0.26	5
chr7_111157120_111158392	0.08	19
chr7_111164030_111164688	0.33	6
chr7_111245241_111246110	0.07	13
chr7_111301562_111302643	0.04	26
chr7_111313747_111314574	0.12	4
chr7_111322500_111323421	0.15	10
chr7_111569082_111569625	0.33	3
chr7_111588260_111589040	0.48	6
chr7_111607342_111608137	0.35	5
chr7_111748342_111749256	0.01	8
chr7_111800097_111800898	0.27	11
chr7_111868782_111869788	0.11	13
chr7_111936883_111937805	0.19	7
chr7_111959891_111960370	0.05	3
chr7_112191953_112192724	0.19	7
chr7_112316079_112317057	0.03	6
chr7_112378339_112378963	0.14	5
chr7_112478973_112479747	0.37	10
chr7_112502380_112502857	0.03	10
chr7_112862005_112862586	0.22	7
chr7_113161177_113161743	0.08	8
chr7_113242133_113243085	0.3	14
chr7_113262223_113263001	0.15	15
chr7_113270404_113271152	0.58	13
chr7_113398046_113398662	0.08	1
chr7_113420661_113421361	0.41	3
chr7_113619268_113620358	0.27	14
chr7_113637946_113638846	0.1	11
chr7_114081525_114082137	0	15
chr7_114137953_114138826	0.02	9
chr7_114151026_114151917	0	5
chr7_114181438_114182244	0	7
chr7_114290089_114290542	0.73	4
chr7_114316517_114317669	0.65	10
chr7_114837267_114837746	0	3
chr7_115000853_115001543	0.39	7
chr7_115147261_115147829	0.06	3
chr7_115426244_115427301	0.11	7
chr7_115446909_115447510	0.22	5
chr7_115966062_115966794	0.03	4
chr7_116134529_116135291	0.41	28
chr7_116258088_116258909	0.25	17
chr7_116701129_116702330	0.08	25
chr7_116853154_116853583	0.09	3
chr7_116857031_116858227	0.27	13
chr7_116959400_116960107	0.12	12
chr7_117018327_117018844	0.53	2
chr7_117044934_117045653	0.5	12
chr7_117065850_117066502	0.03	1
chr7_117100930_117101670	0.17	6
chr7_117106311_117107511	0.04	14
chr7_117161273_117162078	0.3	2
chr7_117357150_117358411	0.08	7
chr7_117440889_117441391	0.08	4
chr7_117595049_117595865	0.01	14
chr7_117671546_117672799	0.19	11
chr7_117709397_117710411	0.09	9
chr7_117720317_117721202	0.05	9
chr7_117855804_117856587	0.25	7
chr7_117918219_117918984	0.03	10
chr7_118001721_118002225	0.03	2
chr7_118159961_118160586	0.12	4
chr7_118252363_118252939	0.39	4
chr7_118364387_118365903	0.49	11
chr7_118371318_118371831	0.26	6
chr7_118390295_118391172	0.31	9
chr7_118428796_118429581	0.28	8
chr7_118532661_118533597	0	53
chr7_119427371_119427715	0.06	4
chr7_119486691_119487201	0.23	6
chr7_119875621_119876269	0.04	2
chr7_120174513_120175176	0.36	7
chr7_120315853_120316504	0.29	2
chr7_120647381_120648345	0.04	3
chr7_120824874_120825555	0.07	7
chr7_120851504_120852705	0.58	17
chr7_120877903_120878929	0.28	12
chr7_120897717_120898158	0.88	7
chr7_120917514_120918564	0	30
chr7_121220970_121221589	0.11	8
chr7_121234732_121235259	0.01	7
chr7_121289517_121290329	0.55	19
chr7_121296092_121296760	0.06	4
chr7_121501375_121502140	0.21	17
chr7_121707197_121707750	0	12
chr7_121806093_121806679	0.09	3
chr7_121836585_121837259	0.5	12
chr7_122018818_122019845	0.08	16
chr7_122249291_122249967	0.13	13
chr7_122367226_122367831	0.2	6
chr7_122584119_122585394	0.06	22
chr7_122755921_122756653	0.12	5
chr7_122768014_122768616	0.25	15
chr7_122779435_122780022	0.03	6
chr7_122822961_122823342	0.35	2
chr7_122969378_122970536	0.01	31
chr7_123030314_123031825	0.01	30
chr7_123410807_123411838	0.28	12
chr7_123487553_123488110	0.11	11
chr7_123732816_123733704	0.03	5
chr7_123794879_123795516	0.13	5
chr7_123908126_123908862	0.72	5
chr7_123998487_123999106	0.06	8
chr7_124180475_124181544	0.46	10
chr7_124198628_124199710	0.17	7
chr7_124237767_124238840	0.32	8
chr7_124358009_124358870	0.44	7
chr7_124458864_124459369	0.55	3
chr7_124671130_124672140	0.37	7
chr7_124681093_124682201	0.14	17
chr7_124748284_124749234	0.08	6
chr7_124836296_124837177	0.12	5
chr7_124854874_124855529	0.31	8
chr7_124907112_124908160	0.13	11
chr7_124934734_124936063	0.26	11
chr7_125033333_125034348	0.33	9
chr7_125102179_125103005	0.34	10
chr7_125310790_125311523	0.06	8
chr7_125427620_125428124	0.79	9
chr7_125517185_125517935	0.24	11
chr7_125766953_125767954	0.08	7
chr7_125846802_125848158	0.29	9
chr7_125999886_126000782	0.28	6
chr7_126008489_126009359	0.03	13
chr7_126147403_126148158	0.32	9
chr7_126235988_126237465	0.03	18
chr7_126745906_126746893	0.68	21
chr7_126884332_126885228	0.03	7
chr7_126984845_126985557	0.05	6
chr7_127016416_127017531	0	34
chr7_127026925_127027996	0.04	7
